race_id,stage_number,driver_fullname,driver_id,car_number,finishing_position,stage_points
5385,1,Chase Elliott,4062,9,1,10
5385,1,Kyle Larson,4030,5,2,9
5385,1,Ross Chastain,4001,1,3,8
5385,1,Alex Bowman,4045,48,4,7
5385,1,William Byron,4184,24,5,6
5385,1,Kyle Busch,454,8,6,5
5385,1,Denny Hamlin,1361,11,7,4
5385,1,Bubba Wallace,4025,23,8,3
5385,1,Martin Truex Jr,3368,19,9,2
5385,1,Daniel Suárez,4113,99,10,1
5385,2,Ryan Blaney,4023,12,1,10
5385,2,Austin Cindric,4180,2,2,9
5385,2,Daniel Suárez,4113,99,3,8
5385,2,Kyle Busch,454,8,4,7
5385,2,Tyler Reddick,4065,45,5,6
5385,2,William Byron,4184,24,6,5
5385,2,Bubba Wallace,4025,23,7,4
5385,2,Ricky Stenhouse Jr,3888,47,8,3
5385,2,AJ Allmendinger,3774,16,9,0
5385,2,Chris Buescher,3989,17,10,1
5389,1,Michael McDowell,3832,34,1,10
5389,1,Ryan Blaney,4023,12,2,9
5389,1,Ross Chastain,4001,1,3,8
5389,1,Kyle Larson,4030,5,4,7
5389,1,Kyle Busch,454,8,5,6
5389,1,Martin Truex Jr,3368,19,6,5
5389,1,Ricky Stenhouse Jr,3888,47,7,4
5389,1,Bubba Wallace,4025,23,8,3
5389,1,William Byron,4184,24,9,2
5389,1,Todd Gilliland,4231,38,10,1
5389,2,Austin Cindric,4180,2,1,10
5389,2,Kyle Larson,4030,5,2,9
5389,2,Ryan Blaney,4023,12,3,8
5389,2,Daniel Suárez,4113,99,4,7
5389,2,Martin Truex Jr,3368,19,5,6
5389,2,Todd Gilliland,4231,38,6,5
5389,2,Brad Keselowski,1816,6,7,4
5389,2,Harrison Burton,4217,21,8,3
5389,2,Chase Briscoe,4228,14,9,2
5389,2,Chase Elliott,4062,9,10,1
5429,1,Jesse Love,4463,2,1,10
5429,1,Austin Hill,4133,21,2,9
5429,1,Parker Kligerman,3914,48,3,8
5429,1,Anthony Alfredo,4301,5,4,7
5429,1,Jeb Burton,4018,27,5,6
5429,1,Sheldon Creed,4204,18,6,5
5429,1,John H. Nemechek,4092,20,7,0
5429,1,AJ Allmendinger,3774,16,8,3
5429,1,Justin Allgaier,34,7,9,2
5429,1,Ryan Truex,3952,19,10,1
5429,2,Austin Hill,4133,21,1,10
5429,2,Sammy Smith,4441,8,2,9
5429,2,Sheldon Creed,4204,18,3,8
5429,2,Cole Custer,4104,00,4,7
5429,2,Ryan Sieg,3884,39,5,6
5429,2,Ryan Truex,3952,19,6,5
5429,2,Riley Herbst,4269,98,7,4
5429,2,Justin Allgaier,34,7,8,3
5429,2,AJ Allmendinger,3774,16,9,2
5429,2,Brandon Jones,4085,9,10,1
5433,1,Jesse Love,4463,2,1,10
5433,1,Riley Herbst,4269,98,2,9
5433,1,Sam Mayer,4327,1,3,8
5433,1,Ryan Truex,3952,19,4,7
5433,1,Parker Kligerman,3914,48,5,6
5433,1,AJ Allmendinger,3774,16,6,5
5433,1,Justin Allgaier,34,7,7,4
5433,1,Sheldon Creed,4204,18,8,3
5433,1,Ryan Sieg,3884,39,9,2
5433,1,Sammy Smith,4441,8,10,1
5433,2,Jesse Love,4463,2,1,10
5433,2,Justin Allgaier,34,7,2,9
5433,2,Riley Herbst,4269,98,3,8
5433,2,Ryan Truex,3952,19,4,7
5433,2,Sammy Smith,4441,8,5,6
5433,2,Chandler Smith,4312,81,6,5
5433,2,Cole Custer,4104,00,7,4
5433,2,Austin Hill,4133,21,8,3
5433,2,AJ Allmendinger,3774,16,9,2
5433,2,Sheldon Creed,4204,18,10,1
5431,1,Chandler Smith,4312,81,1,10
5431,1,John H. Nemechek,4092,20,2,0
5431,1,Austin Hill,4133,21,3,8
5431,1,Riley Herbst,4269,98,4,7
5431,1,Cole Custer,4104,00,5,6
5431,1,AJ Allmendinger,3774,16,6,5
5431,1,Justin Allgaier,34,7,7,4
5431,1,Parker Kligerman,3914,48,8,3
5431,1,Ryan Sieg,3884,39,9,2
5431,1,Brandon Jones,4085,9,10,1
5431,2,Chandler Smith,4312,81,1,10
5431,2,John H. Nemechek,4092,20,2,0
5431,2,Riley Herbst,4269,98,3,8
5431,2,Justin Allgaier,34,7,4,7
5431,2,AJ Allmendinger,3774,16,5,6
5431,2,Austin Hill,4133,21,6,5
5431,2,Jesse Love,4463,2,7,4
5431,2,Parker Kligerman,3914,48,8,3
5431,2,Cole Custer,4104,00,9,2
5431,2,Ryan Sieg,3884,39,10,1
5462,1,Johnny Sauter,2911,45,1,10
5462,1,Ty Majeski,4235,98,2,9
5462,1,Bayley Currey,4257,41,3,8
