season,series_id,race_num,race_date,race_track_name,race_track_id,race_car_count,race_winner_name,race_winner_real_id,race_winner_starting_pos,race_winner_make,race_lap_len,race_track_surface,race_miles_completed,race_purse_completed,race_pole_time,race_cautions,race_speed,race_lead_changes,race_url,race_track_url,race_winner_url
2024,C,1,02/16/24,Daytona,Daytona_International_Speedway,36,Nick Sanchez,sanchni01,6,Chevrolet ,2.500,P,253,,178.767,12,98.933,24,https://www.racing-reference.info/race-results/2024_Fresh_From_Florida_250/C, https://www.racing-reference.info/tracks/Daytona_International_Speedway,https://www.racing-reference.info/driver/sanchni01/
2024,C,2,02/23/24,Atlanta,Atlanta_Motor_Speedway,33,Kyle Busch,buschky01,7,Chevrolet ,1.540,P,208,,174.246,7,111.425,20,https://www.racing-reference.info/race-results/2024_Fr8_208/C, https://www.racing-reference.info/tracks/Atlanta_Motor_Speedway,https://www.racing-reference.info/driver/buschky01/
2024,C,3,03/01/24,Las Vegas,Las_Vegas_Motor_Speedway,32,Rajah Caruth,carutra01,1,Chevrolet ,1.500,P,201,,177.043,4,129.910,19,https://www.racing-reference.info/race-results/2024_Victorias_Voice_Foundation_200/C, https://www.racing-reference.info/tracks/Las_Vegas_Motor_Speedway,https://www.racing-reference.info/driver/carutra01/
2024,C,4,03/16/24,Bristol,Bristol_Motor_Speedway,36,Christian Eckes,eckesch01,1,Chevrolet ,0.533,P,133,,126.888,6,80.017,4,https://www.racing-reference.info/race-results/2024_Weather_Guard_Truck_Race/C, https://www.racing-reference.info/tracks/Bristol_Motor_Speedway,https://www.racing-reference.info/driver/eckesch01/
