season,series_id,race_id,race_id_short,finish_position,starting_position,driver_number,driver_nationality,driver_id,driver_name,sponsor,owner_id,car,race_laps_run,race_status,race_laps_lead,points_earned,playoff_points_earned
2024,C,2024_Fresh_From_Florida_250,2024_01_C,1,6,2,usa,Nick_Sanchez,Nick Sanchez,Gainbridge,Max_Siegel,Chevrolet,101,running,26,42,5
2024,C,2024_Fresh_From_Florida_250,2024_01_C,2,26,11,usa,Corey_Heim,Corey Heim,Safelite,David_Gilliland,Toyota,101,running,0,36,0
2024,C,2024_Fresh_From_Florida_250,2024_01_C,3,20,71,usa,Rajah_Caruth,Rajah Caruth,HendrickCars.com,Spire_Motorsports,Chevrolet,101,running,1,35,0
2024,C,2024_Fresh_From_Florida_250,2024_01_C,4,19,32,usa,Bret_Holmes,Bret Holmes,Precision Garage Door,Stacy_Holmes,Chevrolet,101,running,13,38,0
2024,C,2024_Fresh_From_Florida_250,2024_01_C,5,31,76,usa,Spencer_Boyd,Spencer Boyd,Tibbetts Lumber,,Chevrolet,101,running,0,32,0
2024,C,2024_Fresh_From_Florida_250,2024_01_C,6,27,75,usa,Stefan_Parsons,Stefan Parsons,Ballpark Buns and Rolls,Charlie_Henderson,Chevrolet,101,running,0,31,0
2024,C,2024_Fresh_From_Florida_250,2024_01_C,7,11,88,usa,Matt_Crafton,Matt Crafton,Ideal Door/Menards,Duke_Thorson,Ford,101,running,0,38,0
2024,C,2024_Fresh_From_Florida_250,2024_01_C,8,33,56,usa,Timmy_Hill,Timmy Hill,Coble Enterprises/UNITS,Timmy_Hill,Toyota,101,running,0,29,0
2024,C,2024_Fresh_From_Florida_250,2024_01_C,9,29,28,usa,Bryan_Dauzat,Bryan Dauzat,FDNY Racing/OB Builders,Jim_Rosenblum,Chevrolet,101,running,0,28,0
2024,C,2024_Fresh_From_Florida_250,2024_01_C,10,25,19,usa,Christian_Eckes,Christian Eckes,NAPA AUTOCARE,Bill_McAnally,Chevrolet,101,running,1,39,0
2024,C,2024_Fresh_From_Florida_250,2024_01_C,11,5,18,usa,Tyler_Ankrum,Tyler Ankrum,LiUNA!,Bill_McAnally,Chevrolet,101,running,16,43,1
2024,C,2024_Fresh_From_Florida_250,2024_01_C,12,34,22,canada,Jason_White_(5),Jason White,powder ventures excavations,Kevin_Cywinski,Ford,101,running,0,25,0
2024,C,2024_Fresh_From_Florida_250,2024_01_C,13,9,41,usa,Bayley_Currey,Bayley Currey,AutoVentive/Precision,Al_Niece,Chevrolet,101,running,0,32,0
2024,C,2024_Fresh_From_Florida_250,2024_01_C,14,17,52,canada,Stewart_Friesen,Stewart Friesen,Halmar International,Chris_Larsen,Toyota,101,running,0,23,0
2024,C,2024_Fresh_From_Florida_250,2024_01_C,15,1,98,usa,Ty_Majeski,Ty Majeski,Road Ranger 50th Store,Mike_Curb,Ford,101,running,6,36,0
2024,C,2024_Fresh_From_Florida_250,2024_01_C,16,8,15,usa,Tanner_Gray,Tanner Gray,Dead On Tools,David_Gilliland,Toyota,101,running,1,21,0
2024,C,2024_Fresh_From_Florida_250,2024_01_C,17,22,9,usa,Grant_Enfinger,Grant Enfinger,Grant County Mulch,Codie_Rohrbaugh,Chevrolet,101,running,2,23,0
2024,C,2024_Fresh_From_Florida_250,2024_01_C,18,23,91,usa,Jack_Wood,Jack Wood,Klotz Synthetics,Bill_McAnally,Chevrolet,101,running,0,23,0
2024,C,2024_Fresh_From_Florida_250,2024_01_C,19,12,17,usa,Taylor_Gray,Taylor Gray,JBL,David_Gilliland,Toyota,100,crash,0,0,0
2024,C,2024_Fresh_From_Florida_250,2024_01_C,20,3,7,usa,Corey_LaJoie,Corey LaJoie,BlueGreen Vacations,Spire_Motorsports,Chevrolet,100,crash,5,0,0
2024,C,2024_Fresh_From_Florida_250,2024_01_C,21,7,43,usa,Daniel_Dye,Daniel Dye,Champion Container,Bill_McAnally,Chevrolet,100,crash,0,23,0
2024,C,2024_Fresh_From_Florida_250,2024_01_C,22,30,04,usa,Cory_Roper,Cory Roper,Fly Alliance/CarQuest,Roper_Racing,Chevrolet,100,crash,0,15,0
2024,C,2024_Fresh_From_Florida_250,2024_01_C,23,14,97,usa,Codie_Rohrbaugh,Codie Rohrbaugh,Grant County Mulch,Larry_Berg,Chevrolet,100,crash,0,14,0
2024,C,2024_Fresh_From_Florida_250,2024_01_C,24,15,5,usa,Dean_Thompson,Dean Thompson,David Mancini & Sons,David_Gilliland,Toyota,100,crash,0,15,0
2024,C,2024_Fresh_From_Florida_250,2024_01_C,25,32,02,usa,Mason_Massey,Mason Massey,Brunt,Randy_Young,Chevrolet,100,running,0,12,0
2024,C,2024_Fresh_From_Florida_250,2024_01_C,26,4,42,usa,Matt_Mills,Matt Mills,J.F. Electric/Utilitra,Al_Niece,Chevrolet,99,running,0,11,0
