season,series_id,race_id,race_id_short,finish_position,starting_position,driver_number,driver_nationality,driver_id,driver_name,sponsor,owner_id,car,race_laps_run,race_status,race_laps_lead,points_earned,playoff_points_earned
2024,C,2024_Fresh_From_Florida_250,2024_01_C,27,13,1,usa,Toni_Breidinger,Toni Breidinger,Celsius,David_Gilliland,Toyota,97,running,0,10,0
2024,C,2024_Fresh_From_Florida_250,2024_01_C,28,18,77,usa,Chase_Purdy,Chase Purdy,Bama Buggies,Spire_Motorsports,Chevrolet,93,crash,1,9,0
2024,C,2024_Fresh_From_Florida_250,2024_01_C,29,2,45,usa,Johnny_Sauter,Johnny Sauter,Niece/IEDA,Al_Niece,Chevrolet,79,crash,24,18,1
2024,C,2024_Fresh_From_Florida_250,2024_01_C,30,24,99,usa,Ben_Rhodes,Ben Rhodes,Ranch Fuel Energy Drink,Duke_Thorson,Ford,71,crash,5,13,0
2024,C,2024_Fresh_From_Florida_250,2024_01_C,31,36,27,usa,Keith_McGee,Keith McGee,More Core,Rackley_WAR,Ford,44,crash,0,6,0
2024,C,2024_Fresh_From_Florida_250,2024_01_C,32,35,33,usa,Lawless_Alan,Lawless Alan,AUTOChargit Mobile,Josh_Reaume,Ford,27,overheating,0,5,0
2024,C,2024_Fresh_From_Florida_250,2024_01_C,33,21,38,usa,Layne_Riggs,Layne Riggs,Love's RV Stops,Bob_Jenkins,Ford,13,dvp,0,4,0
2024,C,2024_Fresh_From_Florida_250,2024_01_C,34,16,13,usa,Jake_Garcia,Jake Garcia,Quanta Services,Duke_Thorson,Ford,6,crash,0,3,0
2024,C,2024_Fresh_From_Florida_250,2024_01_C,35,28,25,usa,Ty_Dillon,Ty Dillon,Rackley Roofing,Rackley_WAR,Chevrolet,5,crash,0,2,0
2024,C,2024_Fresh_From_Florida_250,2024_01_C,36,10,46,usa,Thad_Moffitt,Thad Moffitt,Customers Bank,Lane_Moore,Chevrolet,5,crash,0,1,0
2024,C,2024_Fr8_208,2024_02_C,1,7,7,usa,Kyle_Busch,Kyle Busch,Group1001,Spire_Motorsports,Chevrolet,135,running,33,0,0
2024,C,2024_Fr8_208,2024_02_C,2,3,98,usa,Ty_Majeski,Ty Majeski,Farm Paint/ Curb Records,Mike_Curb,Ford,135,running,3,46,0
2024,C,2024_Fr8_208,2024_02_C,3,19,11,usa,Corey_Heim,Corey Heim,Safelite,David_Gilliland,Toyota,135,running,0,40,0
2024,C,2024_Fr8_208,2024_02_C,4,31,17,usa,Taylor_Gray,Taylor Gray,JBL,David_Gilliland,Toyota,135,running,0,35,0
2024,C,2024_Fr8_208,2024_02_C,5,18,2,usa,Nick_Sanchez,Nick Sanchez,Gainbridge,Max_Siegel,Chevrolet,135,running,0,37,0
2024,C,2024_Fr8_208,2024_02_C,6,25,45,usa,Kaden_Honeycutt,Kaden Honeycutt,Georgia Governor's Office of Highway Safety,Al_Niece,Chevrolet,135,running,0,31,0
2024,C,2024_Fr8_208,2024_02_C,7,2,18,usa,Tyler_Ankrum,Tyler Ankrum,LiUNA!,Bill_McAnally,Chevrolet,135,running,46,48,0
2024,C,2024_Fr8_208,2024_02_C,8,12,71,usa,Rajah_Caruth,Rajah Caruth,HendrickCars.com,Spire_Motorsports,Chevrolet,135,running,0,32,0
2024,C,2024_Fr8_208,2024_02_C,9,1,43,usa,Daniel_Dye,Daniel Dye,Champion Container,Bill_McAnally,Chevrolet,135,running,0,30,0
2024,C,2024_Fr8_208,2024_02_C,10,23,5,usa,Dean_Thompson,Dean Thompson,Thompson Pipe Group,David_Gilliland,Toyota,135,running,4,27,0
2024,C,2024_Fr8_208,2024_02_C,11,24,32,usa,Bret_Holmes,Bret Holmes,Precision Garage Door,Stacy_Holmes,Chevrolet,135,running,0,26,0
2024,C,2024_Fr8_208,2024_02_C,12,29,33,usa,Lawless_Alan,Lawless Alan,AUTOParkIt,Josh_Reaume,Ford,135,running,0,25,0
2024,C,2024_Fr8_208,2024_02_C,13,8,88,usa,Matt_Crafton,Matt Crafton,Slim Jim/Menards,Duke_Thorson,Ford,135,running,0,24,0
2024,C,2024_Fr8_208,2024_02_C,14,17,25,usa,Ty_Dillon,Ty Dillon,Rackley Roofing,Rackley_WAR,Chevrolet,135,running,0,23,0
2024,C,2024_Fr8_208,2024_02_C,15,9,77,usa,Chase_Purdy,Chase Purdy,Bama Buggies,Spire_Motorsports,Chevrolet,135,running,0,22,0
2024,C,2024_Fr8_208,2024_02_C,16,11,13,usa,Jake_Garcia,Jake Garcia,Quanta Services,Duke_Thorson,Ford,135,running,0,26,0
2024,C,2024_Fr8_208,2024_02_C,17,15,1,usa,Colby_Howard,Colby Howard,Project Hope Foundation,David_Gilliland,Toyota,135,running,0,20,0
2024,C,2024_Fr8_208,2024_02_C,18,27,56,usa,Timmy_Hill,Timmy Hill,Coble Enterprises/UNITS,Timmy_Hill,Toyota,135,running,0,19,0
2024,C,2024_Fr8_208,2024_02_C,19,22,15,usa,Tanner_Gray,Tanner Gray,Dead On Tools,David_Gilliland,Toyota,135,running,0,25,0
2024,C,2024_Fr8_208,2024_02_C,20,30,02,usa,Mason_Massey,Mason Massey,Anderson Power Services,Randy_Young,Chevrolet,135,running,0,17,0
2024,C,2024_Fr8_208,2024_02_C,21,32,22,usa,Keith_McGee,Keith McGee,More Core,Kevin_Cywinski,Ford,134,running,0,16,0
2024,C,2024_Fr8_208,2024_02_C,22,33,76,usa,Spencer_Boyd,Spencer Boyd,Latitude Aero,,Chevrolet,134,running,0,15,0
2024,C,2024_Fr8_208,2024_02_C,23,16,52,canada,Stewart_Friesen,Stewart Friesen,Halmar International,Chris_Larsen,Toyota,133,running,0,14,0
2024,C,2024_Fr8_208,2024_02_C,24,26,21,usa,Mason_Maggio,Mason Maggio,S I Yachts,Scott_Osteen,Ford,133,running,0,13,0
2024,C,2024_Fr8_208,2024_02_C,25,6,9,usa,Grant_Enfinger,Grant Enfinger,Champion Power Equipment,Codie_Rohrbaugh,Chevrolet,133,running,23,28,0
2024,C,2024_Fr8_208,2024_02_C,26,28,46,usa,Thad_Moffitt,Thad Moffitt,Petty's Garage,Lane_Moore,Chevrolet,132,running,0,11,0
2024,C,2024_Fr8_208,2024_02_C,27,21,42,usa,Matt_Mills,Matt Mills,J.F. Electric/Utilitra,Al_Niece,Chevrolet,132,running,6,10,0
2024,C,2024_Fr8_208,2024_02_C,28,14,99,usa,Ben_Rhodes,Ben Rhodes,Campers Inn RV,Duke_Thorson,Ford,130,running,0,15,0
2024,C,2024_Fr8_208,2024_02_C,29,10,66,usa,Conner_Jones,Conner Jones,TBD,Duke_Thorson,Ford,129,running,0,8,0
2024,C,2024_Fr8_208,2024_02_C,30,20,41,usa,Bayley_Currey,Bayley Currey,AutoVentive/DealBadger,Al_Niece,Chevrolet,96,damage,0,9,0
2024,C,2024_Fr8_208,2024_02_C,31,4,91,usa,Jack_Wood,Jack Wood,Klotz Synthetics,Bill_McAnally,Chevrolet,57,crash,0,9,0
2024,C,2024_Fr8_208,2024_02_C,32,5,19,usa,Christian_Eckes,Christian Eckes,NAPA AUTOCARE,Bill_McAnally,Chevrolet,50,brakes,20,15,1
2024,C,2024_Fr8_208,2024_02_C,33,13,38,usa,Layne_Riggs,Layne Riggs,Northside Hospital,Bob_Jenkins,Ford,133,running,0,4,0
2024,C,2024_Victorias_Voice_Foundation_200,2024_03_C,1,1,71,usa,Rajah_Caruth,Rajah Caruth,HendrickCars.com,Spire_Motorsports,Chevrolet,134,running,38,57,5
2024,C,2024_Victorias_Voice_Foundation_200,2024_03_C,2,5,18,usa,Tyler_Ankrum,Tyler Ankrum,LiUNA!,Bill_McAnally,Chevrolet,134,running,0,42,0
2024,C,2024_Victorias_Voice_Foundation_200,2024_03_C,3,25,11,usa,Corey_Heim,Corey Heim,Safelite,David_Gilliland,Toyota,134,running,18,49,0
2024,C,2024_Victorias_Voice_Foundation_200,2024_03_C,4,19,17,usa,Taylor_Gray,Taylor Gray,Mobil 1,David_Gilliland,Toyota,134,running,4,44,0
2024,C,2024_Victorias_Voice_Foundation_200,2024_03_C,5,14,1,usa,Christopher_Bell,Christopher Bell,Mobil 1,David_Gilliland,Toyota,134,running,2,0,0
2024,C,2024_Victorias_Voice_Foundation_200,2024_03_C,6,2,19,usa,Christian_Eckes,Christian Eckes,NAPA AUTOCARE,Bill_McAnally,Chevrolet,134,running,7,31,0
2024,C,2024_Victorias_Voice_Foundation_200,2024_03_C,7,15,88,usa,Matt_Crafton,Matt Crafton,Black Label Bacon/Menards,Duke_Thorson,Ford,134,running,0,32,0
2024,C,2024_Victorias_Voice_Foundation_200,2024_03_C,8,7,91,usa,Zane_Smith,Zane Smith,Instacoat Premium Products,Bill_McAnally,Chevrolet,134,running,0,0,0
2024,C,2024_Victorias_Voice_Foundation_200,2024_03_C,9,10,9,usa,Grant_Enfinger,Grant Enfinger,Champion Power Equipment,Codie_Rohrbaugh,Chevrolet,134,running,0,34,0
2024,C,2024_Victorias_Voice_Foundation_200,2024_03_C,10,6,98,usa,Ty_Majeski,Ty Majeski,Curb Records 60 Years,Mike_Curb,Ford,134,running,40,47,2
2024,C,2024_Victorias_Voice_Foundation_200,2024_03_C,11,12,13,usa,Jake_Garcia,Jake Garcia,Quanta Services,Duke_Thorson,Ford,134,running,0,26,0
2024,C,2024_Victorias_Voice_Foundation_200,2024_03_C,12,20,32,usa,Bret_Holmes,Bret Holmes,Precision Garage Door,Stacy_Holmes,Chevrolet,134,running,0,25,0
2024,C,2024_Victorias_Voice_Foundation_200,2024_03_C,13,13,99,usa,Ben_Rhodes,Ben Rhodes,Kubota,Duke_Thorson,Ford,134,running,0,24,0
2024,C,2024_Victorias_Voice_Foundation_200,2024_03_C,14,26,66,usa,Conner_Jones,Conner Jones,Cincinnati,Duke_Thorson,Ford,133,running,0,23,0
2024,C,2024_Victorias_Voice_Foundation_200,2024_03_C,15,4,7,usa,Kyle_Busch,Kyle Busch,Group1001,Spire_Motorsports,Chevrolet,133,running,13,0,0
2024,C,2024_Victorias_Voice_Foundation_200,2024_03_C,16,11,77,usa,Chase_Purdy,Chase Purdy,Bama Buggies,Spire_Motorsports,Chevrolet,133,running,1,21,0
2024,C,2024_Victorias_Voice_Foundation_200,2024_03_C,17,8,2,usa,Nick_Sanchez,Nick Sanchez,Gainbridge,Max_Siegel,Chevrolet,133,running,5,25,0
2024,C,2024_Victorias_Voice_Foundation_200,2024_03_C,18,3,52,canada,Stewart_Friesen,Stewart Friesen,Halmar International,Chris_Larsen,Toyota,133,running,0,29,0
2024,C,2024_Victorias_Voice_Foundation_200,2024_03_C,19,18,45,usa,Connor_Mosack,Connor Mosack,Chevy Accessories,Al_Niece,Chevrolet,133,running,0,18,0
2024,C,2024_Victorias_Voice_Foundation_200,2024_03_C,20,24,15,usa,Tanner_Gray,Tanner Gray,Dead On Tools,David_Gilliland,Toyota,133,running,0,17,0
2024,C,2024_Victorias_Voice_Foundation_200,2024_03_C,21,29,02,usa,Mason_Massey,Mason Massey,Anderson Power Services,Randy_Young,Chevrolet,133,running,6,16,0
2024,C,2024_Victorias_Voice_Foundation_200,2024_03_C,22,21,38,usa,Layne_Riggs,Layne Riggs,Love's RV Stops,Bob_Jenkins,Ford,133,running,0,15,0
2024,C,2024_Victorias_Voice_Foundation_200,2024_03_C,23,28,33,usa,Lawless_Alan,Lawless Alan,AUTOChargit Mobile ,Josh_Reaume,Ford,133,running,0,14,0
2024,C,2024_Victorias_Voice_Foundation_200,2024_03_C,24,9,43,usa,Daniel_Dye,Daniel Dye,NAPA Nightvision,Bill_McAnally,Chevrolet,132,running,0,13,0
2024,C,2024_Victorias_Voice_Foundation_200,2024_03_C,25,30,46,usa,Thad_Moffitt,Thad Moffitt,South Point Hotel & Casino,Lane_Moore,Chevrolet,132,running,0,12,0
2024,C,2024_Victorias_Voice_Foundation_200,2024_03_C,26,16,25,usa,Ty_Dillon,Ty Dillon,Rackley Roofing,Rackley_WAR,Chevrolet,132,running,0,11,0
2024,C,2024_Victorias_Voice_Foundation_200,2024_03_C,27,31,22,usa,Keith_McGee,Keith McGee,More Core,Kevin_Cywinski,Ford,131,running,0,10,0
2024,C,2024_Victorias_Voice_Foundation_200,2024_03_C,28,17,41,usa,Bayley_Currey,Bayley Currey,Niece,Al_Niece,Chevrolet,129,running,0,9,0
2024,C,2024_Victorias_Voice_Foundation_200,2024_03_C,29,32,76,usa,Spencer_Boyd,Spencer Boyd,Nor-Cal Equipment Rentals,,Chevrolet,128,running,0,8,0
2024,C,2024_Victorias_Voice_Foundation_200,2024_03_C,30,23,5,usa,Dean_Thompson,Dean Thompson,Thompson Pipe Group,David_Gilliland,Toyota,125,running,0,7,0
2024,C,2024_Victorias_Voice_Foundation_200,2024_03_C,31,22,42,usa,Matt_Mills,Matt Mills,J.F. Electric/Utilitra,Al_Niece,Chevrolet,125,running,0,6,0
2024,C,2024_Victorias_Voice_Foundation_200,2024_03_C,32,27,56,usa,Timmy_Hill,Timmy Hill,Coble Enterprises/UNITS,Timmy_Hill,Toyota,75,electrical,0,5,0
2024,C,2024_Weather_Guard_Truck_Race,2024_04_C,1,1,19,usa,Christian_Eckes,Christian Eckes,NAPA AUTOCARE,Bill_McAnally,Chevrolet,250,running,144,57,5
2024,C,2024_Weather_Guard_Truck_Race,2024_04_C,2,4,7,usa,Kyle_Busch,Kyle Busch,Group1001,Spire_Motorsports,Chevrolet,250,running,105,0,0
2024,C,2024_Weather_Guard_Truck_Race,2024_04_C,3,7,91,usa,Zane_Smith,Zane Smith,Instacoat Premium Products,Bill_McAnally,Chevrolet,250,running,1,0,0
2024,C,2024_Weather_Guard_Truck_Race,2024_04_C,4,20,88,usa,Matt_Crafton,Matt Crafton,Great Lakes Flooring/Menards,Duke_Thorson,Ford,250,running,0,36,0
2024,C,2024_Weather_Guard_Truck_Race,2024_04_C,5,9,18,usa,Tyler_Ankrum,Tyler Ankrum,Ullico,Bill_McAnally,Chevrolet,250,running,0,41,0
2024,C,2024_Weather_Guard_Truck_Race,2024_04_C,6,15,11,usa,Corey_Heim,Corey Heim,Safelite,David_Gilliland,Toyota,250,running,0,31,0
2024,C,2024_Weather_Guard_Truck_Race,2024_04_C,7,3,17,usa,Taylor_Gray,Taylor Gray,Factory Canopies,David_Gilliland,Toyota,250,running,0,35,0
2024,C,2024_Weather_Guard_Truck_Race,2024_04_C,8,6,71,usa,Rajah_Caruth,Rajah Caruth,HendrickCars.com,Spire_Motorsports,Chevrolet,250,running,0,29,0
2024,C,2024_Weather_Guard_Truck_Race,2024_04_C,9,13,9,usa,Grant_Enfinger,Grant Enfinger,Champion Power Equipment,Codie_Rohrbaugh,Chevrolet,250,running,0,29,0
2024,C,2024_Weather_Guard_Truck_Race,2024_04_C,10,28,38,usa,Layne_Riggs,Layne Riggs,Love's Travel Stops,Bob_Jenkins,Ford,250,running,0,28,0
2024,C,2024_Weather_Guard_Truck_Race,2024_04_C,11,12,41,usa,Bayley_Currey,Bayley Currey,Niece,Al_Niece,Chevrolet,250,running,0,26,0
2024,C,2024_Weather_Guard_Truck_Race,2024_04_C,12,8,45,usa,Kaden_Honeycutt,Kaden Honeycutt,Chevy Accessories,Al_Niece,Chevrolet,250,running,0,27,0
2024,C,2024_Weather_Guard_Truck_Race,2024_04_C,13,10,43,usa,Daniel_Dye,Daniel Dye,Champion Container,Bill_McAnally,Chevrolet,250,running,0,24,0
2024,C,2024_Weather_Guard_Truck_Race,2024_04_C,14,17,13,usa,Jake_Garcia,Jake Garcia,Quanta Services,Duke_Thorson,Ford,250,running,0,23,0
2024,C,2024_Weather_Guard_Truck_Race,2024_04_C,15,21,15,usa,Tanner_Gray,Tanner Gray,Dead On Tools,David_Gilliland,Toyota,250,running,0,22,0
2024,C,2024_Weather_Guard_Truck_Race,2024_04_C,16,16,99,usa,Ben_Rhodes,Ben Rhodes,TSport,Duke_Thorson,Ford,250,running,0,26,0
2024,C,2024_Weather_Guard_Truck_Race,2024_04_C,17,2,2,usa,Nick_Sanchez,Nick Sanchez,Gainbridge,Max_Siegel,Chevrolet,250,running,0,37,0
2024,C,2024_Weather_Guard_Truck_Race,2024_04_C,18,25,75,usa,Stefan_Parsons,Stefan Parsons,popsells.com,Charlie_Henderson,Chevrolet,249,running,0,19,0
2024,C,2024_Weather_Guard_Truck_Race,2024_04_C,19,14,66,usa,Conner_Jones,Conner Jones,Farm Paint,Duke_Thorson,Ford,249,running,0,18,0
2024,C,2024_Weather_Guard_Truck_Race,2024_04_C,20,26,25,usa,Ty_Dillon,Ty Dillon,Rackley Roofing,Rackley_WAR,Chevrolet,249,running,0,17,0
2024,C,2024_Weather_Guard_Truck_Race,2024_04_C,21,19,1,usa,William_Sawalich,William Sawalich,Starkey/Soundgear,David_Gilliland,Toyota,248,running,0,16,0
2024,C,2024_Weather_Guard_Truck_Race,2024_04_C,22,23,52,canada,Stewart_Friesen,Stewart Friesen,Halmar International,Chris_Larsen,Toyota,248,running,0,19,0
2024,C,2024_Weather_Guard_Truck_Race,2024_04_C,23,22,5,usa,Dean_Thompson,Dean Thompson,Thompson Pipe Group,David_Gilliland,Toyota,247,running,0,14,0
2024,C,2024_Weather_Guard_Truck_Race,2024_04_C,24,27,56,usa,Timmy_Hill,Timmy Hill,Hill Motorsports,Timmy_Hill,Toyota,247,running,0,13,0
2024,C,2024_Weather_Guard_Truck_Race,2024_04_C,25,18,42,usa,Matt_Mills,Matt Mills,J.F. Electric/Utilitra,Al_Niece,Chevrolet,247,running,0,12,0
2024,C,2024_Weather_Guard_Truck_Race,2024_04_C,26,33,46,usa,Thad_Moffitt,Thad Moffitt,Petty's Garage,Lane_Moore,Chevrolet,246,running,0,11,0
2024,C,2024_Weather_Guard_Truck_Race,2024_04_C,27,29,33,usa,Lawless_Alan,Lawless Alan,AUTOParkIt,Josh_Reaume,Ford,246,running,0,10,0
2024,C,2024_Weather_Guard_Truck_Race,2024_04_C,28,31,02,usa,Mason_Massey,Mason Massey,RandCo,Randy_Young,Chevrolet,245,running,0,9,0
2024,C,2024_Weather_Guard_Truck_Race,2024_04_C,29,36,21,usa,Mason_Maggio,Mason Maggio,Rock Hill ACE Hardware,Scott_Osteen,Ford,244,running,0,8,0
2024,C,2024_Weather_Guard_Truck_Race,2024_04_C,30,30,76,usa,Spencer_Boyd,Spencer Boyd,Freedom Warranty,,Chevrolet,242,running,0,7,0
2024,C,2024_Weather_Guard_Truck_Race,2024_04_C,31,24,32,usa,Bret_Holmes,Bret Holmes,David's Electric,Stacy_Holmes,Chevrolet,242,running,0,6,0
2024,C,2024_Weather_Guard_Truck_Race,2024_04_C,32,34,22,usa,Keith_McGee,Keith McGee,More Core,Kevin_Cywinski,Ford,238,running,0,5,0
2024,C,2024_Weather_Guard_Truck_Race,2024_04_C,33,11,77,usa,Chase_Purdy,Chase Purdy,Bama Buggies,Spire_Motorsports,Chevrolet,228,running,0,4,0
2024,C,2024_Weather_Guard_Truck_Race,2024_04_C,34,5,98,usa,Ty_Majeski,Ty Majeski,Soda Sense/Curb Records,Mike_Curb,Ford,170,engine,0,17,0
2024,C,2024_Weather_Guard_Truck_Race,2024_04_C,35,35,14,usa,Trey_Hutchens,Trey Hutchens,Quality Roof Seamers,,Chevrolet,113,suspension,0,2,0
2024,C,2024_Weather_Guard_Truck_Race,2024_04_C,36,32,90,usa,Justin_S_Carroll,Justin S. Carroll,Carroll's Automotive/Duratain,Terry_Carroll,Toyota,57,brakes,0,1,0
2024,C,2024_XPEL_225,2024_05_C,1,2,11,usa,Corey_Heim,Corey Heim,Safelite,David_Gilliland,Toyota,46,running,31,50,6
2024,C,2024_XPEL_225,2024_05_C,2,3,17,usa,Taylor_Gray,Taylor Gray,JBL,David_Gilliland,Toyota,46,running,0,41,0
2024,C,2024_XPEL_225,2024_05_C,3,9,98,usa,Ty_Majeski,Ty Majeski,Road Ranger,Mike_Curb,Ford,46,running,2,52,0
2024,C,2024_XPEL_225,2024_05_C,4,1,7,usa,Connor_Zilisch,Connor Zilisch,Austin Hatcher Foundation,Spire_Motorsports,Chevrolet,46,running,0,38,0
2024,C,2024_XPEL_225,2024_05_C,5,5,45,usa,Ross_Chastain,Ross Chastain,TXAPA,Al_Niece,Chevrolet,46,running,0,0,0
2024,C,2024_XPEL_225,2024_05_C,6,6,1,uk,Jack_Hawksworth,Jack Hawksworth,Mobil 1,David_Gilliland,Toyota,46,running,1,39,0
2024,C,2024_XPEL_225,2024_05_C,7,34,99,usa,Ben_Rhodes,Ben Rhodes,TSPORT Trucks,Duke_Thorson,Ford,46,running,0,42,0
2024,C,2024_XPEL_225,2024_05_C,8,10,19,usa,Christian_Eckes,Christian Eckes,NAPA AUTOCARE,Bill_McAnally,Chevrolet,46,running,1,35,0
2024,C,2024_XPEL_225,2024_05_C,9,17,5,usa,Dean_Thompson,Dean Thompson,Thompson Pipe Group,David_Gilliland,Toyota,46,running,0,30,0
2024,C,2024_XPEL_225,2024_05_C,10,7,15,usa,Tanner_Gray,Tanner Gray,ShopTRICON.com,David_Gilliland,Toyota,46,running,4,35,0
2024,C,2024_XPEL_225,2024_05_C,11,18,25,usa,Ty_Dillon,Ty Dillon,Rackley Roofing,Rackley_WAR,Chevrolet,46,running,0,27,0
2024,C,2024_XPEL_225,2024_05_C,12,14,9,usa,Grant_Enfinger,Grant Enfinger,Champion Power Equipment,Codie_Rohrbaugh,Chevrolet,46,running,0,25,0
2024,C,2024_XPEL_225,2024_05_C,13,22,91,usa,Jack_Wood,Jack Wood,Klotz / Cometic Gasket,Bill_McAnally,Chevrolet,46,running,0,26,0
2024,C,2024_XPEL_225,2024_05_C,14,25,13,usa,Jake_Garcia,Jake Garcia,Quanta Services,Duke_Thorson,Ford,46,running,0,23,0
2024,C,2024_XPEL_225,2024_05_C,15,11,71,usa,Rajah_Caruth,Rajah Caruth,HendrickCars.com,Spire_Motorsports,Chevrolet,46,running,0,26,0
2024,C,2024_XPEL_225,2024_05_C,16,15,41,usa,Bayley_Currey,Bayley Currey,AutoVentive/Precision,Al_Niece,Chevrolet,46,running,0,21,0
2024,C,2024_XPEL_225,2024_05_C,17,27,56,usa,Timmy_Hill,Timmy Hill,Will's Automotive,Timmy_Hill,Toyota,46,running,0,20,0
2024,C,2024_XPEL_225,2024_05_C,18,4,2,usa,Nick_Sanchez,Nick Sanchez,Gainbridge,Max_Siegel,Chevrolet,46,running,4,29,1
2024,C,2024_XPEL_225,2024_05_C,19,19,75,usa,Stefan_Parsons,Stefan Parsons,Springrates,Charlie_Henderson,Chevrolet,46,running,0,18,0
2024,C,2024_XPEL_225,2024_05_C,20,13,52,canada,Stewart_Friesen,Stewart Friesen,Halmar International,Chris_Larsen,Toyota,46,running,2,17,0
2024,C,2024_XPEL_225,2024_05_C,21,29,22,usa,Carter_Fartuch,Carter Fartuch,Skip Barber Racing School,Kevin_Cywinski,Ford,46,running,0,16,0
